Year,Country Name,Country Code,mobile_sus
2020,Sweden,SWE,12800000
2020,Switzerland,CHE,11000000
2020,Syrian Arab Republic,SYR,16700000
2020,Tajikistan,TJK,11600000
2020,Tanzania,TZA,51200000
2020,Thailand,THA,116000000
2020,Timor-Leste,TLS,1380000
2020,Togo,TGO,6520000
2020,Tonga,TON,62000
2020,Trinidad and Tobago,TTO,1990000
2020,Tunisia,TUN,14900000
2020,Turkiye,TUR,82100000
2020,Turkmenistan,TKM,6160000
2020,Turks and Caicos Islands,TCA,..
2020,Tuvalu,TUV,9000
2020,Uganda,UGA,27700000
2020,Ukraine,UKR,54000000
2020,United Arab Emirates,ARE,18400000
2020,United Kingdom,GBR,79000000
2020,United States,USA,353000000
2020,Uruguay,URY,4550000
2020,Uzbekistan,UZB,33400000
2020,Vanuatu,VUT,246232
2020,"Venezuela, RB",VEN,16500000
2020,Viet Nam,VNM,139000000
2020,Virgin Islands (U.S.),VIR,80000
2020,West Bank and Gaza,PSE,4060000
2020,"Yemen, Rep.",YEM,15200000
2020,Zambia,ZMB,19100000
2020,Zimbabwe,ZWE,13200000
,,,
,,,
,,,
