Year,Country Name,Country Code,mobile_sus
2020,Serbia,SRB,120.2168595
2020,Seychelles,SYC,173.8823083
2020,Sierra Leone,SLE,83.60731215
2020,Singapore,SGP,142.8931601
2020,Sint Maarten (Dutch part),SXM,..
2020,Slovak Republic,SVK,133.5923247
2020,Slovenia,SVN,120.4592752
2020,Solomon Islands,SLB,68.57738104
2020,Somalia,SOM,53.48002324
2020,South Africa,ZAF,163.1909795
2020,South Sudan,SSD,12.6718012
2020,Spain,ESP,117.4899328
2020,Sri Lanka,LKA,136.9116134
2020,St. Kitts and Nevis,KNA,131.2392427
2020,St. Lucia,LCA,81.41789921
2020,St. Martin (French part),MAF,..
2020,St. Vincent and the Grenadines,VCT,95.91903051
2020,Sudan,SDN,79.19626937
2020,Suriname,SUR,148.145421
2020,Sweden,SWE,123.3665446
2020,Switzerland,CHE,127.4054064
2020,Syrian Arab Republic,SYR,80.20304156
2020,Tajikistan,TJK,121.3847714
2020,Tanzania,TZA,83.00888599
2020,Thailand,THA,162.7043297
2020,Timor-Leste,TLS,105.9938692
2020,Togo,TGO,77.18623928
2020,Tonga,TON,58.90512475
2020,Trinidad and Tobago,TTO,130.9488475
2020,Tunisia,TUN,122.1279008
2020,Turkiye,TUR,97.61417509
2020,Turkmenistan,TKM,98.62952004
2020,Turks and Caicos Islands,TCA,..
2020,Tuvalu,TUV,81.30815792
2020,Uganda,UGA,62.35610757
2020,Ukraine,UKR,129.3411657
2020,United Arab Emirates,ARE,197.8438703
2020,United Kingdom,GBR,117.8163133
2020,United States,USA,104.9353748
2020,Uruguay,URY,132.7256301
2020,Uzbekistan,UZB,99.58344787
2020,Vanuatu,VUT,79.00027271
2020,"Venezuela, RB",VEN,58.06789032
2020,Viet Nam,VNM,143.7522156
2020,Virgin Islands (U.S.),VIR,79.64795603
2020,West Bank and Gaza,PSE,79.63152961
2020,"Yemen, Rep.",YEM,47.01393376
2020,Zambia,ZMB,100.932458
2020,Zimbabwe,ZWE,84.1862743
,,,
,,,
,,,
