codigo,precio,direccion,latitud,longitud,razon_social,distribuidor,nom_comuna,nom_region
co841401,1379.1666,AV. PRAT 850,-36.27928341,-72.54248321,Comercial y Servicios Palmilla LTDA,COPEC,Quirihue,Ñuble
co841601,1374.9474,"RUTA 5 SUR KM 383,3 0",-36.47290424,-72.00612389,Administradora de Ventas al detalle Limitada.,COPEC,San Carlos,Ñuble
co841602,1343.7142,"LONGITUDINAL SUR, ESQ. MACKENNA 0",-36.42653773,-71.94850534,COMERCIAL GREZ Y BUGMANN LIMITADA,COPEC,San Carlos,Ñuble
co842101,1378.2273,ANGELES 667,-37.12220454,-72.0103839,COMERCIALIZADORA Y DISTRIBUIDORA CAIQUEN LTDA                        ,COPEC,Yungay,Ñuble
co910101,1400.381,"RUTA 5 SUR S/N, KM 682 0",-38.71103999,-72.55809903,COMERCIAL CAUTIN LIMITADA,COPEC,Temuco,De la Araucanía
co910102,1393.3889,RUDECINDO ORTEGA 02011,-38.71108185,-72.55809903,DISTRIBUIDORA DE COMBUSTIBLES LABAY RU HERMANOS LIMITADA 77348560-7,COPEC,Temuco,De la Araucanía
co910104,1391.2632,"GRAL. MACKENNA, ESQ. VARAS 712",-38.7411272,-72.58715406,Administradora de Ventas al Detalle Ltda.,COPEC,Temuco,De la Araucanía
co910105,1401.3,Rudecindo Ortega 1471,-38.7192439,-72.56734729,COMERCIAL Y SERVICIOS SANTA RAFAELLA LTDA,COPEC,Temuco,De la Araucanía
co910106,1397.0555,Avda. Caupolicán 0451,-38.74411775,-72.60782719,DISTRIBUIDORA DE COMB LABAYRU RU HERMANOS LIMITADA RUT: 77.348.560-7,COPEC,Temuco,De la Araucanía
co910107,1392.6666,Avda. BALMACEDA 1629,-38.73454837,-72.57779181,COMERCIAL Y SERVICIOS RIGA LTDA,COPEC,Temuco,De la Araucanía
co910109,1387.2778,"AV. SAN MARTIN, ESQ. URUGUAY 0884",-38.73918468,-72.6148653,DISTRIBUIDORA DE COMBUSTIBLES JULIAN LEMP LIMITADA. / RUT: 76.258.056-K,COPEC,Temuco,De la Araucanía
co910110,1391.2632,General Mackenna 725,-38.741109,-72.5869443,Administradora de Ventas al Detalle Ltda.,COPEC,Temuco,De la Araucanía
co910111,1392.1666,Av. Alemania 083,-38.73634,-72.602762,Sociedad Comercial Sabugo y Valenzuela Limitada  ,COPEC,Temuco,De la Araucanía
co910112,1382.0526,RUTA S-30  KM 6.2 0,-38.761204,-72.684898,COMERCIAL Y SERVICIOS L Y L LTDA,COPEC,Temuco,De la Araucanía
co910201,1410.0909,MANUEL MONTT 15,-38.70980932,-73.15671444,Administradora de Ventas al Detalle Ltda.,COPEC,Carahue,De la Araucanía
co910301,1399.1666,AVENIDA SANTA MARIA 130,-38.93076685,-72.0327723,Administradora de Ventas al Detalle Ltda.,COPEC,Cunco,De la Araucanía
co910302,1399.1666,LLAIMA 792,-38.93224825,-72.02741325,Administradora de Ventas al Detalle Ltda.,COPEC,Cunco,De la Araucanía
co910501,1396.5294,RUTA 5 SUR KM 698 0,-38.95747744,-72.62629688,DISTRIBUIDORA DE COMBUSTIBLES ARAUCANIA LIMITADA,COPEC,Freire,De la Araucanía
co910601,1412.1875,"MATTA, ESQ. MAIPU 0",-38.41368555,-72.78069019,DISTRIBUIDORA DE COMBUSTIBLES JULIAN LEMP LTDA,COPEC,Galvarino,De la Araucanía
co910701,1392.1666,Ohiggins 290,-39.09812781,-72.67242014,Labayru y Villalobos Distribuidora de Combustibles ltda,COPEC,Gorbea,De la Araucanía
co910801,1396.2778,O'HIGGINS 1174,-38.51973158,-72.43975997,DISTRIBUIDORA DE COMBUSTIBLES LABAYRU LIMITADA,COPEC,Lautaro,De la Araucanía
co910802,1386.9231,"RUTA 5 SUR KM 645,7 0",-38.52901494,-72.4589324,BOERI Y CIA. LTDA. RUT: 78.329.280-7,COPEC,Lautaro,De la Araucanía
co910901,1427.5555,BALMACEDA 1121,-39.37078398,-72.63640881,NAHUEN LTDA.,COPEC,Loncoche,De la Araucanía
co910902,1397.7084,PANAMERICANA SUR KM 748 0,-39.37431714,-72.6232338,Administradora de Ventas al Detalle Ltda,COPEC,Loncoche,De la Araucanía
co911101,1395,O'HIGGINS 498,-38.74834344,-72.95134306,Comercial Berna Ltda.,COPEC,Nueva Imperial,De la Araucanía
co911301,1396.3334,Matta esq. Lastarria S/N 0,-38.42007422,-72.37728596,Administradora de Ventas al Detalle Ltda,COPEC,Perquenco,De la Araucanía
co911401,1395.5454,O'HIGGINS ESQ. BALMACEDA 680,-38.98208049,-72.64120996,Administradora de Ventas al Detalle Ltda.,COPEC,Pitrufquén,De la Araucanía
co911501,1397.7778,"FRESIA, BRASIL 547",-39.27790412,-71.97537303,JIMENEZ Y BASSO LIMITADA RUT: 77.150.680-1  ,COPEC,Pucón,De la Araucanía
co911502,1401.6666,Camino Internacional 2215,-39.28732113,-71.94444245,Comercial Smith y Sanhueza ltda,COPEC,Pucón,De la Araucanía
co911503,1360,Sector La Poza de Pucón,-39.27566404,-71.98105463,--,COPEC,Pucón,De la Araucanía
co911901,1395.1666,ARTURO PRAT esq  BLANCO ENCALADA 520,-38.66979795,-72.22615555,Administradora de Ventas al Detalle Ltda.,COPEC,Vilcún,De la Araucanía
co912001,1404,"PEDRO DE VALDIVIA, BALMACEDA 302",-39.27987238,-72.2319746,EST. DE SERV. VILLARRICA LTDA.,COPEC,Villarrica,De la Araucanía
co912002,1402.8235,GERONIMO DE ALDERETE 857,-39.28462256,-72.23056912,DISTRIBUIDORA DE COMBUSTIBLES RIO TOLTEN LIMITADA RUT: 76.049.591-3,COPEC,Villarrica,De la Araucanía
co912003,1410.3889,"CAMINO A CONARIPE, LICAN-RAY 555",-39.48491968,-72.15875566,SOCIEDAD COMERCIAL ISE LTDA,COPEC,Villarrica,De la Araucanía
co920101,1379.7778,"AV. O'HIGGINS, AV. ALEMANIA 1254",-37.8087456,-72.68872261,SOCIEDAD COMERCIAL CARRASCO Y DE LA PAZ LIMITADA RUT: ,COPEC,Angol,De la Araucanía
co920201,1395.5264,"FREIRE, ESQ. AMUNATEGUI 0",-37.95258809,-72.43335485,SOC COMERCIAL F Y F DIAZ TEPPA LTDA,COPEC,Collipulli,De la Araucanía
co920202,1379.8334,"M. RODRIGUEZ, CAMINO MININCO-ESPERA 0",-37.789283,-72.474374,ABUTER COMBUSTIBLES LTDA,COPEC,Collipulli,De la Araucanía
co920301,1386.8125,MANUEL RODRIGUEZ 631,-38.43675778,-71.89037919,COOP. AGROPECUARIA CURACAUTIN LTDA. ,SHELL,Curacautín,De la Araucanía
co920302,1374.1666,AV. MANUEL RODRIGUEZ 1405,-38.437903,-71.876225,Administradora de Ventas al Detalle Ltda.,COPEC,Curacautín,De la Araucanía
co920501,1393.1666,PORTALES CON OHIGGINS 0,-38.44797603,-71.36959076,Administradora de Ventas al Detalle Ltda.,COPEC,Lonquimay,De la Araucanía
co920701,1366.3793,CAUPOLICAN 250,-38.1906676,-72.9919516,Administradora de ventas al detalle limitada,COPEC,Lumaco,De la Araucanía
co920801,1385.7646,IMPERIAL 891,-38.0318516,-73.0710876,COMERCIAL Y SERVICIOS VEGA LIMITADA,COPEC,Purén,De la Araucanía
co920901,1409.8182,"LORENZO DE LA MAZA, ESQ. ALPATACAL 0",-38.02392325,-73.07161331,"RIQUELME HERRERA, MARIA DELFINA RUT: 7.304.459-6",Sin Bandera,Renaico,De la Araucanía
co921001,1390.5883,"CORONEL URRUTIA, RIVEROS 581",-38.25126382,-72.66947053,LUIS ALBERTO RIOS LANDERO,COPEC,Traiguén,De la Araucanía
co921102,1358.05,AVDA. ARTURO PRAT 1090,-38.23236532,-72.34052896,SOCIEDAD COMERCIAL EL LAUREL LIMITADA RUT: 76.022.103-1,COPEC,Victoria,De la Araucanía
co921103,1390.1904,"RUTA 5 SUR KM.614,3 0",-38.28085829,-72.36694336,Administradora de Ventas al Detalle Ltda.,COPEC,Victoria,De la Araucanía
ex1312401,1329,La Farfana 400,-33.45400909,-70.79844424,COMERCIAL AGURTO SPA,ENEX,Pudahuel,Metropolitana de Santiago
fa710101,1354.9565,"AV COLIN 18 SUR, LA FLORIDA 0",-35.437971,-71.682199,FACAZ DIVISION COMBUSTIBLES SPA,FACAZ,Talca,Del Maule
fa710601,1363.25,Calle matadero s/n,-35.38819273,-71.44837919,FACAZ LTDA,FACAZ,Pelarco,Del Maule
fa711001,1392.5454,Bascuñan  s/n 0,-35.30587,-71.519765,Facaz División Combustibles SPA,FACAZ,San Rafael,Del Maule
gs1030701,1404.6364,CRUZ 697,-40.411981,-73.011451,SOCIEDAD INVERSIONES DEL SUR SPA,GSP Combustibles,San Pablo,De los Lagos
hn710101,1342.9546,1 Norte 2410,-35.42829497,-71.64147019,HUGO NAJLE HAYE,HN,Talca,Del Maule
hn710102,1347.9091,AVENIDA LIRCAY 2820,-35.41146647,-71.65110737,HUGO NAJLE HAYE,HN,Talca,Del Maule
hn710103,1353.3182,Avda. Ignacio Carrera Pinto 190,-35.4320456,-71.6775878,HUGO NAJLE HAYE,HN,Talca,Del Maule
hn710901,1368,AVENIDA HUAMACHUCO 210,-35.53680114,-71.49030089,HUGO NAJLE HAYE    RUT  3.611.018-K,HN,San Clemente,Del Maule
hn730401,1358.3214,AVENIDA 7 DE ABRIL 2620,-35.05616366,-71.27060652,HUGO NAJLE HAYE,HN,Molina,Del Maule
hn730402,1354.2858,QUECHEREGUAS 2799,-35.10908528,-71.2778753,HUGO NAJLE HAYE ,HN,Molina,Del Maule
hn730501,1383.9445,DIEGO PORTALES 05,-34.92536658,-71.31465912,HUGO NAJLE HAYE,HN,Rauco,Del Maule
hn740301,1378.1,PANAMERICANA SUR KM 314,-35.95956297,-71.68489516,HUGO NAJLE HAYE,HN,Longaví,Del Maule
hn740401,1351.6428,Población Viña del Mar N°1 1,-36.1353896,-71.8352343,HUGO NAJLE HAYE,HN,Parral,Del Maule
hn740601,1377.0555,BALMACEDA 555,-35.60076151,-71.70810699,HUGO NAJLE HAYE,HN,San Javier,Del Maule
hn740701,1365.55,Abate Molina 160,-35.67612792,-71.74387425,HUGO NAJLE  HAYE,HN,Villa Alegre,Del Maule
hn840101,1354.125,AVENIDA LIBERTADOR BDO OHIGGINS 1982,-36.62034996,-72.12193966,HUGO NAJLE HAYE,HN,Chillán,Ñuble
hn910101,1381,AVENIDA PEDRO DE VALDIVIA 2610,-38.7152174,-72.63077617,HUGO NAJLE HAYE,HN,Temuco,De la Araucanía
hn920101,1381,av. bernardo ohiggins 2999,-37.81625327,-72.67665002,Hugo Najle Haye,HN,Angol,De la Araucanía
jlc1312601,1322.375,VARGAS FONTECILLA 4193,-33.43326787,-70.6920433,José Luis Capdevila Honorato,JLC,Quinta Normal,Metropolitana de Santiago
jlc1340108,1321.5294,SANTA MARGARITA 081,-33.53435676,-70.69954276,José Luis Capdevila Honorato ,JLC,San Bernardo,Metropolitana de Santiago
js1330201,1380.3334,AV. ESPAÃ‘A 2111,-33.238895,-70.810045,DISTRIBUIDORA DE COMBUSTIBLES JSP SPA,Combustibles JSP,Lampa,Metropolitana de Santiago
js510101,1361.6875,AVENIDA ERRAZURIZ 1970,-33.043853,-71.616365,DISTRIBUIDORA DE COMBUSTIBLES JSP SPA,Combustibles JSP,Valparaíso,Valparaíso
pb1010101,1405.9546,"Marathon, Pichi Pelluco 1100",-41.4735139,-72.91731119,Comercial y Servicios Crux Limitada,COPEC,Puerto Montt,De los Lagos
pb1010103,1409.52,tepual km 3 0,-41.43444205,-73.04998398,ROSSEL MENA E HIJAS SPA,PETROBRAS,Puerto Montt,De los Lagos
pb1010104,1394.9,Crónica 2330,-41.4803461,-72.973478,Juan Casanova Vivar EIRL,Sin Bandera,Puerto Montt,De los Lagos
pb1010105,1396.0264,Av. Chamiza Lote 4.1 Pelluco,-41.49029501,-72.88353565,Esmax Red,ARAMCO,Puerto Montt,De los Lagos
pb1020801,1422.1428,Ruta 5 sur Km 1,-43.10911366,-73.60641998,Distribuidora Combustible y lubricante Victor Almonacid EIRL.,PETROBRAS,Quellón,De los Lagos
pb1021001,1431.7222,Miranda Velasquez 042,-42.538133,-73.418773,Sociedad Comercial Edow Hijos Limitada,SHELL,Quinchao,De los Lagos
pb1040201,1456.3334,Ruta CH 231 0,-43.1833,-71.8667,Sociedad comercial y servicios el mandil ltda.,COPEC,Futaleufú,De los Lagos
pb1210101,1407.6511,Carlos Ibáñez del Campo 05871,-53.11593012,-70.87722301,INVERSIONES ENEX S.A,SHELL,Punta Arenas,Magallanes y de la Antártica Chilena
